dataset_source,scale,engine,approach,schema,collection,repeat,n_queries,mean_latency_ms,p95_latency_ms,throughput_qps,cpu_percent,storage_mb,ciphertext_expansion_factor,recovery_accuracy,recovery_accuracy_filtered,linkage_recovery_accuracy,n_unique_tokens,decoy_target_ratio
excel,1000,couchbase,B,multi,linkage,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0,
excel,1000,couchbase,C,multi,patients,0,5000,8.002912399949855,9.658514996408488,122.7209396127714,36.0,21.22654914855957,1.0003427861625132,0.8814,0.8814,,5,0.5
excel,1000,couchbase,C,multi,patients,1,5000,7.936049439979252,9.46874999499414,123.81836297841248,36.4,21.22654914855957,1.0003427861625132,0.8814,0.8814,,5,0.5
excel,1000,couchbase,C,multi,patients,2,5000,8.327743080025538,10.36354499483423,117.90244967781489,40.5,21.22654914855957,1.0003427861625132,0.8814,0.8814,,5,0.5
excel,1000,couchbase,C,multi,lab_orders,0,5000,3.853185779989872,5.141225000625128,252.9976195251447,47.3,18.605244636535645,0.8763937094478943,0.3984,0.4048,,97,0.5
excel,1000,couchbase,C,multi,lab_orders,1,5000,3.646872720080137,4.882509998060414,267.378565305426,44.8,18.605244636535645,0.8763937094478943,0.3984,0.4048,,97,0.5
excel,1000,couchbase,C,multi,lab_orders,2,5000,3.458542959985789,4.613544993844698,282.17984608333865,39.8,18.605244636535645,0.8763937094478943,0.3984,0.4048,,97,0.5
excel,1000,couchbase,C,multi,billing,0,5000,6.207075879992044,7.600070003900328,157.83096964145153,38.6,19.72467422485352,0.9285457553062432,1.0,1.0,,4,0.5
excel,1000,couchbase,C,multi,billing,1,5000,6.236694400021224,7.743689998824267,157.0705034232457,38.1,19.72467422485352,0.9285457553062432,1.0,1.0,,4,0.5
excel,1000,couchbase,C,multi,billing,2,5000,6.1889292599691546,7.638509999378584,158.3177916451393,38.0,19.72467422485352,0.9285457553062432,1.0,1.0,,4,0.5
excel,1000,couchbase,C,multi,patients,0,5000,10.324343659986337,12.110274997758095,94.85184065660606,41.4,19.53231811523437,0.9204988237540248,0.9158,0.8814,,5,0.75
excel,1000,couchbase,C,multi,patients,1,5000,10.24501689993922,11.964509994504624,95.56891532111844,40.5,19.53231811523437,0.9204988237540248,0.9158,0.8814,,5,0.75
excel,1000,couchbase,C,multi,patients,2,5000,9.997569020018272,12.092770000890598,97.99189943299064,41.2,19.53231811523437,0.9204988237540248,0.9158,0.8814,,5,0.75
excel,1000,couchbase,C,multi,lab_orders,0,5000,2.9923807599858265,4.098560001148144,327.41565551713984,36.1,19.7365140914917,0.9296817716788592,0.3288,0.4188,,97,0.75
excel,1000,couchbase,C,multi,lab_orders,1,5000,4.085497519990895,6.070870002076845,238.8946067516573,55.1,19.7365140914917,0.9296817716788592,0.3288,0.4188,,97,0.75
excel,1000,couchbase,C,multi,lab_orders,2,5000,3.167870220054465,4.464305000146851,308.9986112057221,38.6,19.7365140914917,0.9296817716788592,0.3288,0.4188,,97,0.75
